"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_001MA","B25070_001EA","B25070_002E","B25070_002M","B25070_002MA","B25070_002EA","B25070_003E","B25070_003EA","B25070_003M","B25070_003MA","B25070_004E","B25070_004M","B25070_004MA","B25070_004EA","B25070_005E","B25070_005EA","B25070_005M","B25070_005MA","B25070_006E","B25070_006M","B25070_006MA","B25070_006EA","B25070_007E","B25070_007M","B25070_007MA","B25070_007EA","B25070_008E","B25070_008M","B25070_008MA","B25070_008EA","B25070_009E","B25070_009EA","B25070_009M","B25070_009MA","B25070_010E","B25070_010M","B25070_010MA","B25070_010EA","B25070_011E","B25070_011M","B25070_011MA","B25070_011EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Annotation of Margin of Error!!Total!!Less than 10.0 percent","Annotation of Estimate!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Annotation of Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Annotation of Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Estimate!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Annotation of Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Annotation of Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Estimate!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Estimate!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Estimate!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Annotation of Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Annotation of Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Annotation of Margin of Error!!Total!!50.0 percent or more","Annotation of Estimate!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed","Annotation of Margin of Error!!Total!!Not computed","Annotation of Estimate!!Total!!Not computed",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","94","37","null","null","6","8","null","null","0","null","12","null","11","12","null","null","18","null","15","null","22","22","null","null","8","11","null","null","0","12","null","null","0","null","12","null","18","21","null","null","11","12","null","null",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","282","134","null","null","0","17","null","null","12","null","19","null","37","64","null","null","18","null","27","null","0","17","null","null","24","44","null","null","12","17","null","null","96","null","101","null","29","40","null","null","54","45","null","null",
"1400000US06001404600","Census Tract 4046, Alameda County, California","140","65","null","null","0","12","null","null","26","null","23","null","9","13","null","null","16","null","19","null","22","34","null","null","37","32","null","null","9","14","null","null","0","null","12","null","13","21","null","null","8","12","null","null",
"1400000US06001404700","Census Tract 4047, Alameda County, California","74","37","null","null","0","12","null","null","11","null","12","null","11","12","null","null","31","null","33","null","0","12","null","null","5","7","null","null","0","12","null","null","0","null","12","null","16","16","null","null","0","12","null","null",
"1400000US06001404800","Census Tract 4048, Alameda County, California","643","111","null","null","8","12","null","null","25","null","24","null","60","49","null","null","107","null","67","null","36","35","null","null","79","47","null","null","76","68","null","null","118","null","73","null","122","56","null","null","12","15","null","null",
"1400000US06001404900","Census Tract 4049, Alameda County, California","749","140","null","null","20","17","null","null","42","null","31","null","100","52","null","null","153","null","77","null","123","72","null","null","60","54","null","null","27","31","null","null","87","null","55","null","115","67","null","null","22","24","null","null",
"1400000US06001405000","Census Tract 4050, Alameda County, California","553","101","null","null","0","12","null","null","63","null","38","null","84","54","null","null","41","null","34","null","85","58","null","null","40","26","null","null","38","25","null","null","96","null","69","null","40","27","null","null","66","54","null","null",
"1400000US06001405100","Census Tract 4051, Alameda County, California","150","65","null","null","31","38","null","null","0","null","12","null","40","42","null","null","14","null","16","null","23","18","null","null","0","12","null","null","0","12","null","null","8","null","12","null","30","27","null","null","4","7","null","null",
"1400000US06001405200","Census Tract 4052, Alameda County, California","1767","151","null","null","97","85","null","null","107","null","79","null","385","157","null","null","329","null","126","null","120","65","null","null","127","69","null","null","78","53","null","null","85","null","60","null","360","135","null","null","79","59","null","null",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","1349","88","null","null","24","22","null","null","117","null","58","null","216","73","null","null","267","null","90","null","130","68","null","null","65","34","null","null","109","56","null","null","219","null","85","null","202","86","null","null","0","12","null","null",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","1426","75","null","null","50","38","null","null","117","null","61","null","138","61","null","null","180","null","74","null","203","74","null","null","76","46","null","null","99","57","null","null","118","null","60","null","430","107","null","null","15","17","null","null",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","1448","101","null","null","39","32","null","null","96","null","55","null","80","50","null","null","265","null","97","null","140","58","null","null","112","55","null","null","119","62","null","null","169","null","78","null","397","113","null","null","31","25","null","null",
